name,type,isin,distribution_policy,yahoo_ticker,yahoo_exchange,yahoo_source_url,ordinary_tax_principle,ordinary_income_type,ask_eligible,tax_basis,tax_source_url,classification_as_of
Sparindex INDEX OMX C25 KL,Investeringsforeninger,DK0060442556,Distribuerende,SPIC25KL.CO,CPH,https://finance.yahoo.com/quote/SPIC25KL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Stabil Obligation KL A,Investeringsforeninger,DK0060057487,Distribuerende,SPISOKLA.CO,CPH,https://finance.yahoo.com/quote/SPISOKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX USA Growth KL,Investeringsforeninger,DK0010298272,Distribuerende,SPIUSGKL.CO,CPH,https://finance.yahoo.com/quote/SPIUSGKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX USA Small Cap KL,Investeringsforeninger,DK0010298355,Distribuerende,SPIUSSKL.CO,CPH,https://finance.yahoo.com/quote/SPIUSSKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX USA Value KL,Investeringsforeninger,DK0010298439,Distribuerende,SPIUSVKL.CO,CPH,https://finance.yahoo.com/quote/SPIUSVKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinv Ansv Virk.obl IG KL A,Investeringsforeninger,DK0060444255,Distribuerende,SPIVO.CO,CPH,https://finance.yahoo.com/quote/SPIVO.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinv SICAV RespCoB IG EUR R,Investeringsforeninger,LU0264925727,Akkumulerende,SSIRCPEURR.CO,CPH,https://finance.yahoo.com/quote/SSIRCPEURR.CO/,lager,kapitalindkomst,no,VP 2026: 8/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinv Virksomhedsobligationer HY KortA,Investeringsforeninger,DK0060530764,Distribuerende,SPIVHYKORTKLA.CO,CPH,https://finance.yahoo.com/quote/SPIVHYKORTKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Bæredygtige Aktier Akk KL A,Investeringsforeninger,DK0060012896,Akkumulerende,SPIBDAAKKKLA.CO,CPH,https://finance.yahoo.com/quote/SPIBDAAKKKLA.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Bæredygtige Aktier KL A,Investeringsforeninger,DK0061294048,Distribuerende,SPIBDA.CO,CPH,https://finance.yahoo.com/quote/SPIBDA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Danske Aktier KL A,Investeringsforeninger,DK0010068006,Distribuerende,SPIDKAKLA.CO,CPH,https://finance.yahoo.com/quote/SPIDKAKLA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Globale Fokusaktier KL A,Investeringsforeninger,DK0061293826,Distribuerende,SPIGFA.CO,CPH,https://finance.yahoo.com/quote/SPIGFA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Grønne Oblig KL A,Investeringsforeninger,DK0064082069,Distribuerende,SPIGRO.CO,CPH,https://finance.yahoo.com/quote/SPIGRO.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Korte Obligationer KL A,Investeringsforeninger,DK0060105203,Distribuerende,SPIKOOKLA.CO,CPH,https://finance.yahoo.com/quote/SPIKOOKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Lange Obligationer KL A,Investeringsforeninger,DK0060105393,Distribuerende,SPILOLKLA.CO,CPH,https://finance.yahoo.com/quote/SPILOLKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Mellemlange Obligationer KL A,Investeringsforeninger,DK0060105476,Distribuerende,SPIMLOKLA.CO,CPH,https://finance.yahoo.com/quote/SPIMLOKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Mix Aktier KL A,Investeringsforeninger,DK0010014778,Distribuerende,SPIMAKLA.CO,CPH,https://finance.yahoo.com/quote/SPIMAKLA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Mix Høj Risiko KL A,Investeringsforeninger,DK0060623346,Distribuerende,SPIMHRKLA.CO,CPH,https://finance.yahoo.com/quote/SPIMHRKLA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Mix Lav Risiko KL A,Investeringsforeninger,DK0060623189,Distribuerende,SPIMLRKLA.CO,CPH,https://finance.yahoo.com/quote/SPIMLRKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Mix Maksimum Risiko KL A,Investeringsforeninger,DK0061551892,Distribuerende,SPIMMRIA.CO,CPH,https://finance.yahoo.com/quote/SPIMMRIA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
